LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,JAN16,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,1,17,0,14,0,1,1,0,1,1,2,0,0,0,0,2,1,2,1,7,7,42,27,22,21
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,23,23,0,72,27,27,42,30,0,31,27,27,27,28,28,31,27,27,27,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,17,14,10,11,9,15,10,11,19,22,30,17,32,25,22,21,22,28,40,26,11,28,30,38,24,38,21,18,20,18,19,15,18,17,17,17,16,16,16,16,15,16,15,15,15,0,12,11,57,18,18,19,21,0,21,20,23,19,15,13,22,17,30,19,12,18,18,19,19,18,18,19,19,19,18,18,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,44,40,35,43,35,44,36,34,34,31,35,29,32,31,31,30,30,30,30,30,29,30,29,29,0,24,23,21,20,19,17,20,19,19,18,17,18,17,17,17,17,17,16,16,16,16,15,17,17,17,17,17,17,17,17,17,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,30,10,30,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,7,18,20,23,15,19,15,15,15,7,8,11,10,11,14,18,18,13,9,9,4,1,6,1,1,9,9,2,1,3,14,4,0,1,1,1,1,6,8,8,10,10,9,11,8,10,8,14,15,26,27,29,22,27,26,33,32
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,271,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,20,20,4,1,4,2,3,5,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,10,0,10,9,18,11,18,19,9,5,2,10,0,7,7,7,6,19,8,6,2,1,6,0,0,0,7,7,8,5,7,16,7,7,4
H3,DOMESTICO RESIDENCIAL,0.5,,,19,21,21,22,26,20,23,21,18,10,19,6,15,14,7,14,11,12,12,11,14,11,9,9,11,6,9,0,4,7,6,0,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,2,3,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,24
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,486,9,12,13,13,22,21,19,20,22,18,15,12,17,16,16,15,14,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,10,9,10,9,8,8,8,8,8,7,6,6,10,0,11,10,18,18,19,25,28,24,25,12,13,16,12,20,13,28,23,23,30,16,26,12,16,16,14,25,17,36,34,39,52,33,27,27
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,199,14,14,14,14,14,14,14,14,14,14,14,2,11,11,11,0,0,0,5,14,4,3,4,4,5,5,4,4,4,4,4,4,4,3,3,3,0,12,3,4,3,4,3,3,5,3,2,1,5,2,1,2,2,2,2,3,2,4,2,2,3,2,0,2,5,3,3,12,1,12,12,1,10,3,7,5,6,3,6,5,5,5,4,5
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,0,85,16,26,27,29,29,0,0,17,0,12,0,6,5,6,4,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO RESIDENCIAL,0.5,Cicasa NG 1/2,791,20,20,20,20,20,20,20,20,7,3,15,0,10,8,17,15,9,11,11,12,0,6,7,8,12,10,7,11,9,12,12,8,8,11,10,7,9,12,8,9,14,14,10,12,11,17,14,9,21,13,13,22,15,15,15,23,20,13,13,15,16,16,0,13,11,11,9,7,6,9,8,8,16,7,5,9,6,8,15,14,6,6,8,9
H3,DOMESTICO RESIDENCIAL,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,333,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,12,10,11,11,21,34,20,11,13,9,16,8,10,12,11,14,14,18,13,14,13,6,3,5
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,16,12,9,12,10,14,10,11,6,8,11,8,12,6,8,13,9,8,7,10,11,14,10,9,11,13,12,15,12,15,15,13,11,12,12,8,11,8,6,6,2,5,9,9,8,8,8,7,7,24
H3,DOMESTICO RESIDENCIAL,0.5,Cicasa NG 1/2,849,20,20,20,6,14,10,14,7,12,8,8,9,12,10,8,11,10,12,10,10,12,10,12,12,11,12,11,12,13,11,16,11,14,13,16,14,15,18,14,15,15,16,15,14,19,13,21,11,15,16,14,11,16,19,15,16,15,12,12,13,15,18,11,15,13,15,18,9,2,1,0,0,0,0,7,7,6,0,0,1,2,2,2,2
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,40,88,16,30,34,35,0,13,14,21,14,22,14,42,22,16,24,21,31,44,26,0,25,25,27,23,18,17,18,15,22,19,16,13,14,17,18,3,5,3,22,8,8,3,4,3,4,6,4,9,6,25,14,4,10,11,11,12,0,11,9,10,7,5,15,9,9,8,9,9,8,9,9,9,9,9,9,24
H3,DOMESTICO MEDIO,0.5,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,8,6,8,7,9,5,6,1,0,0,0,1,1,0,0,3,2,2,1,1,1,1,1,1,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,84,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,16,15,16,15,13,20,11,8,9,11,6,1,1,66,11,11,16,14,20,22,15,13,14,16,16,0,3,2,5,6,6,10,12,8,2,2,1,2,1,1,1,1,2,5,1,5,4,3,0
H3,DOMESTICO MEDIO,0.5,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,0,20,19,18,17,16,14,16,16,15,15,14,14,14,14,14,14,13,13,13,12,13,12,12,12,12,12,11,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,SOCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,9,7,15,0,8,9,12,8,10,8,9,8,6,7,9,7,9,8,8,7,9,10,10,9,10,9,11,9,9,9,16,16,11,11,11,12,12,12,11,11,11,11,11,20,20,14,14,14,15,16,15,14,14,14,14,14,14,14,13,13,13,13,12,14,14,14,14,14,14,14,14,14,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,685,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,11,13,15,16,2,11,0,13,14,14,16,21,15,11,13,16,13,18,16,24,20,25,21,7,10,11,14,17,13,12,11,19,7,10,10,9,8,9,11,14,16,12,6,6,8,10,7,8,8,9,10,11,14,13,10,1,9
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,766,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,2,11,15,18,10,13,15,9,11,17,8,6,10,7,14,11,9,14,11,18,11,14,17,22,10,13,17,16,13,24,15,16,15,8,14,11,14,10,16,17,14,15,9,14,8,7,11,11,16,12,15,19,16,13,16,17,12
H3,DOMESTICO RESIDENCIAL,0.5,,,10,10,10,20,20,20,20,10,2,6,1,5,4,4,12,15,9,19,10,17,7,12,0,0,0,5,3,3,1,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,Cicasa NG 1/2,1028,12,8,3,10,7,12,11,13,9,7,6,8,9,8,13,9,9,8,13,7,13,12,12,10,11,9,9,9,8,8,14,12,13,10,15,11,10,14,10,10,13,15,17,15,16,13,18,12,18,15,14,12,16,16,12,13,13,11,15,11,11,13,15,19,12,16,8,9,15,10,20,15,27,15,17,19,14,19,7,6,11,11,12,9
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,551,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,11,8,10,9,7,15,12,9,15,8,11,10,9,9,10,2,2,2,4,6,4,7,7,7,11,11,11,14,13,12,15,15,10,8,12,8,10,6,8,20,9,9,2,14,8,10,11,10,16,13,6,0,0,0,8,22,19
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,1093,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,64,25,12,13,13,14,18,23,39,34,33,29,18,22,10,14,13,14,13,21,28,29,26,28,25,35,19,21,21,31,28,26,32,23,26,20,25,24,24,0,12,16,20,16,23,21,18,25,19,18,18
H3,DOMESTICO MEDIO,0.5,,,15,15,15,15,15,15,14,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,6,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO RESIDENCIAL,0.5,MSDELAUNET,238,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,10,10,10,10,24,24,24,24,3,4,5,7,5,8,8,8,16,6,3,8,6,12,9,9,11,11,12,15,14,16,15,16,11
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,181,14,14,14,13,13,0,6,4,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,0,1,2,2,4,4,3,2,5,3,3,2,3,2,2,3,4,5,5,4,3,3,5,4,4,4,4,5,4,3,4,6,4,6,7,5,5,3,3,4,5,4,5,5,5,7,1,2
H3,DOMESTICO MEDIO,0.5,,,30,30,30,30,30,30,59,11,9,8,10,7,9,8,9,17,15,17,12,16,15,14,18,18,23,16,17,15,15,14,15,13,13,11,13,9,11,14,12,14,13,12,14,14,14,9,15,12,19,13,11,14,12,13,12,12,12,19,21,18,18,19,13,15,12,12,14,19,14,16,16,3,13,12,13,13,13,13,13,13,13,12,12,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,25,25,22,21,29,27,23,38,30,25,32,15,18,16,13,24,13,15,14,15,13,12,22,21,28,31,20,47,31,29,30,33,47,32,25,18,14,31,12,17,15,10,11,15,12,12,12,7,8,11,8,9,9,9,7,6,8,8,7,7,8,12,9,10,12,9,9,10,9,9,9,8,8,8,9,9,9,9,9,9,9,9,9,24
H3,DOMESTICO RESIDENCIAL,0.5,,,14,14,2,0,0,4,5,4,2,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,20,21,22,22,9,0,0,0,22,22,11,10,9,8,7,13,11,11,11,11,11,11,10,10,24
H3,DOMESTICO MEDIO,0.5,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,SOCIAL,0.5,CICASA MMD-15 S,643,6,5,6,6,8,7,11,11,7,12,12,9,10,9,9,10,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,0,19,17,16,14,18,18,16,19,12,16,13,14,13,15,14,12,13,11,12,12,11,7,15,16,18,13,13,13,15,8,6,17,12,14,17,14,13,16,19,16,17,6,18,13,2,1,1
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,21,21,22,22,21,21,20,20,20,20,20,19,19,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,SOCIAL,0.5,DOROT,1626,20,20,20,8,9,14,21,17,12,9,12,9,6,5,6,7,8,11,15,8,25,11,10,9,11,12,14,15,13,15,11,16,18,19,19,18,12,17,19,21,19,18,26,16,21,18,18,15,15,13,15,17,17,12,28,14,24,17,15,17,17,17,16,11,24,15,31,27,20,15,26,16,23,12,17,19,13,18,23,20,20,5,18,17
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,240,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,18,23,12,10,10,10,11,14,10,9,4,9,6,10,5,7,8,9,9,6,9,8,11,8,4
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,177,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3,7,8,6,11,8,8,6,8,6,5,5,6,8,8,7,8,5,5,4,5,5,4,4,6,5,5,6,5
H3,DOMESTICO RESIDENCIAL,0.5,,,15,15,13,14,15,15,17,20,17,18,17,19,28,9,4,15,14,18,18,13,27,4,15,0,12,0,1,1,1,2,1,1,0,1,1,1,0,1,0,0,1,1,2,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,2,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,24
H3,DOMESTICO MEDIO,0.5,,,41,42,35,40,39,38,38,37,37,37,37,36,36,0,10,10,10,10,10,10,10,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,18,13,18,15,18,16,15,15,15,15,15,15,14,14,13,15,15,15,15,15,15,15,15,15,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,15,17,32,27,21,9,31,10,11,9,13,13,14,14,17,13,15,11,11,13,12,11,15,12,21,3,12,6,5,2,0,4,4,22,24,13,29,15,25,4,29,18,29,21,19,13,9,30,32,21,30,30,30,27,27,27,28,30,30,16,0,30,34,30,45,20,26,30,30,28,27,26,27,29,29,29,29,28,28,24
H3,DOMESTICO MEDIO,0.5,,,11,9,10,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,20,21,22,21,21,20,0,16,16,15,14,13,12,14,13,15,14,14,13,14,14,14,14,14,24
H3,SOCIAL,0.5,CICASA MMD-15 S,581,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,19,27,19,32,27,32,18,12,13,15,29,27,21,17,17,16,10,13,12,13,14,14,19,16,15,18,36,39,21
H3,SOCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,25,20,21,28,29,24,31,35,7,25,24,23,24,22,0,33,20,20,19,19,17,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,,,27,24,17,12,17,10,25,34,17,1,2,14,15,0,2,3,1,0,0,1,0,0,20,3,3,4,4,5,6,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,845,20,20,20,6,11,12,16,20,19,17,13,9,11,6,7,10,9,8,8,10,8,8,8,8,8,8,7,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,23,24,23,23,23,0,21,21,26,31,48,74,67,85,50,66,44,49,38,32,10,10,19,25,29,33,17,10,30
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,1176,20,20,20,13,22,23,40,20,21,16,15,9,11,10,4,0,2,4,5,4,3,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,19,20,26,39,20,16,18,15,40,37,21,23,22,1,41,41,40,31,28,38,40,28,25,21,23,29,27,53,50,49,57,85,52,72
H3,SOCIAL,0.5,MSDELAUNET,323,18,19,15,15,20,30,35,27,20,16,18,13,16,10,9,11,10,13,17,11,21,12,13,13,16,15,13,14,15,12,12,13,13,11,11,12,11,11,11,11,10,10,0,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,18,14,16,10,12,12,12,12,14,14,11,16,11,16,10,15,13,9,14,15,17,10,11,11,10
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,114,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,6,2,1,1,1,0,3,0,1,3,8,2,2,0,0,0,1,0,0,0,0,0,0,0,23,24,23,23,0,2,1,2,1,2,2,3,3,4,4,5,5,8,5,4,4,6,8,5,7,6,8,10,4
H3,SOCIAL,0.5,CICASA MMD-15 S,503,18,13,14,18,15,22,16,16,16,17,16,16,15,15,15,15,15,15,14,15,14,14,14,14,14,14,13,14,13,13,13,13,13,12,12,12,0,7,6,16,15,16,17,18,18,13,20,14,16,18,12,17,18,23,11,19,18,14,16,15,18,1,18,20,17,18,17,19,19,14,22,17,23,19,22,30,40,32,21,24,21,19,23,17
H3,SOCIAL,0.5,CICASA MMD-15 S,711,20,20,20,9,14,11,15,14,13,11,13,9,15,11,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,0,14,12,13,16,16,16,16,18,12,16,14,12,15,12,16,18,22,18,14,17,13,15,13,14,17,14,29,15,18,15,17,16,11,16,10,12,9,14,13,12,16,14,14,13,13,12,11
H3,DOMESTICO MEDIO,0.5,,,30,30,30,31,9,20,0,20,18,16,13,14,13,15,14,14,13,13,13,13,13,12,12,12,12,12,10,10,9,9,8,9,9,8,8,8,20,0,2,1,3,7,6,2,3,3,4,5,3,4,4,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,396,14,14,14,14,14,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,5,5,4,5,5,3,9,5,6,5,6,6,5,5,10,9,4,3,8,5,5,6,6,7,5,3,5,4,6,5,7,4,6,4,4,10,9,9,6,5,5,5,9,8,13,11,10,9,11,8,11,9,6,4,9,9,11,11
H3,SOCIAL,0.5,MSDELAUNET,628,20,20,20,16,19,24,22,24,24,21,23,18,25,14,17,19,18,18,18,17,17,17,17,17,16,16,16,16,16,16,15,15,15,14,14,14,20,0,35,26,28,37,41,53,28,28,32,25,30,32,23,23,27,38,30,26,28,27,28,29,28,0,18,23,24,22,22,27,30,17,24,21,30,24,23,25,59,66,22,24,23,20,22,26
H3,DOMESTICO RESIDENCIAL,0.5,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,3,17,15,14,12,0,8,7,6,4,3,3,3,3,3,6,5,4,5,4,4,4,4,24
H3,DOMESTICO MEDIO,0.5,,,10,9,10,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,23,24,23,23,23,23,22,22,22,22,22,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,214,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,4,8,10,11,9,5,7,10,5,7,5,5,6,5,6,6,7,9,9,13,9,11,13,15,9,10
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,500,20,20,20,6,9,8,11,6,11,13,16,8,11,8,13,10,10,14,14,18,17,11,10,10,9,10,6,7,10,15,17,12,20,13,13,14,0,16,7,7,9,11,10,8,10,10,8,8,7,9,7,7,12,15,14,12,13,8,13,10,23,12,12,12,13,12,12,15,13,11,11,8,11,7,8,11,9,9,6,9,9,6,8,5
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,3,3,4,4,2,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,24,23,23,23,23,22,21,12,0,11,16,16,16,16,16,16,16,0,11,7,6,20,18,31,16,15,15,13
H3,SOCIAL,0.5,CICASA / DE LA UNET,1653,3,3,4,5,9,9,17,21,16,9,8,3,5,4,6,10,5,16,27,11,14,8,5,4,3,3,8,15,21,14,11,7,17,15,7,16,4,3,3,4,7,14,14,10,20,15,8,5,3,5,4,6,6,8,17,9,9,11,7,4,7,4,5,13,11,16,20,24,23,19,6,7,6,5,7,14,10,17,17,19,18,14,9,7
